adsh,tag,version,coreg,ddate,qtrs,uom,value,footnote
0001448788-18-000014,EntityPublicFloat,dei/2014,,20171031,0,USD,12187750,
0000808450-18-000227,EntityPublicFloat,dei/2014,,20181031,0,USD,1272000000,
0001563228-18-000028,EntityPublicFloat,dei/2014,,20180630,0,USD,2924882,
0001551163-18-000221,EntityPublicFloat,dei/2014,,20181031,0,USD,2234465,
0000794170-18-000055,EntityPublicFloat,dei/2014,,20180430,0,USD,5917899000,
0000904979-18-000054,EntityPublicFloat,dei/2014,,20180430,0,USD,121837289,
0001558370-18-009762,EntityPublicFloat,dei/2014,,20180430,0,USD,1500000000,
0001687926-18-000012,EntityPublicFloat,dei/2014,,20180331,0,USD,0,
0001564590-18-031342,EntityPublicFloat,dei/2014,,20180331,0,USD,37600000,
0001628280-18-015372,EntityPublicFloat,dei/2014,,20180430,0,USD,2031249279,
0001104659-18-074460,EntityPublicFloat,dei/2014,,20180331,0,USD,44700000,
0001206942-18-000020,EntityPublicFloat,dei/2014,,20180430,0,USD,0,
0001680689-18-000005,EntityPublicFloat,dei/2014,,20181031,0,USD,0,
0001216752-18-000031,EntityPublicFloat,dei/2014,,20180930,0,USD,0,
0001721868-18-000770,EntityPublicFloat,dei/2014,,20181231,0,USD,14406677,
0001721868-18-000779,EntityPublicFloat,dei/2014,,20160630,0,USD,82992,
0001052918-18-000478,EntityPublicFloat,dei/2014,,20180331,0,USD,6124729,
0000356037-18-000042,EntityPublicFloat,dei/2014,,20180331,0,USD,38586781,
0001599916-18-000224,EntityPublicFloat,dei/2014,,20181231,0,USD,500,
0001144204-18-066592,EntityPublicFloat,dei/2014,,20180430,0,USD,6278619392,
0000034563-18-000055,DerivativeNonmonetaryNotionalAmount,invest/2013,,20180930,0,lb,51326000,
0000034563-18-000055,DerivativeNonmonetaryNotionalAmount,invest/2013,,20180630,0,lb,43459000,
0001692115-18-000050,DerivativeNonmonetaryNotionalAmount,invest/2013,,20180930,0,MMBTU,14157000,
0001692115-18-000050,DerivativeNonmonetaryNotionalAmount,invest/2013,,20171231,0,MMBTU,10929000,
0000821026-18-000082,DerivativeNonmonetaryNotionalAmount,invest/2013,,20180930,0,T,115000,
0000821026-18-000082,DerivativeNonmonetaryNotionalAmount,invest/2013,,20180930,0,lb,2560000,
0000821026-18-000082,DerivativeNonmonetaryNotionalAmount,invest/2013,,20180930,0,gal,324087000,
0000821026-18-000082,DerivativeNonmonetaryNotionalAmount,invest/2013,,20180930,0,bu,562872000,
0000821026-18-000082,DerivativeNonmonetaryNotionalAmount,invest/2013,,20171231,0,T,97000,
0000821026-18-000082,DerivativeNonmonetaryNotionalAmount,invest/2013,,20171231,0,lb,6074000,
0000821026-18-000082,DerivativeNonmonetaryNotionalAmount,invest/2013,,20171231,0,gal,237885000,
0000821026-18-000082,DerivativeNonmonetaryNotionalAmount,invest/2013,,20171231,0,bu,464085000,
0000821026-18-000082,DerivativeNonmonetaryNotionalAmount,invest/2013,,20170930,0,T,110000,
0000821026-18-000082,DerivativeNonmonetaryNotionalAmount,invest/2013,,20170930,0,lb,5782000,
0000821026-18-000082,DerivativeNonmonetaryNotionalAmount,invest/2013,,20170930,0,gal,225251000,
0000821026-18-000082,DerivativeNonmonetaryNotionalAmount,invest/2013,,20170930,0,bu,533750000,
0000754737-18-000246,DerivativeNonmonetaryNotionalAmount,invest/2013,,20180930,0,pure,64855232,
0000754737-18-000246,DerivativeNonmonetaryNotionalAmount,invest/2013,,20171231,0,pure,61719890,
0001587732-18-000073,DerivativeNonmonetaryNotionalAmount,invest/2013,,20180930,0,MMcf,35000,
0001587732-18-000073,DerivativeNonmonetaryNotionalAmount,invest/2013,,20171231,0,MMcf,14100,
0001587732-18-000068,DerivativeNonmonetaryNotionalAmount,invest/2013,,20180930,0,MMcf,35000,
0001587732-18-000068,DerivativeNonmonetaryNotionalAmount,invest/2013,,20171231,0,MMcf,14100,
0000225648-18-000156,DerivativeNonmonetaryNotionalAmount,invest/2013,,20180930,0,MW,3000000,
0001370946-18-000033,DerivativeNonmonetaryNotionalAmount,invest/2013,,20180930,0,MMBTU,2,
0001428205-18-000263,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,8350000000,
0001428205-18-000263,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,6850000000,
0000040533-18-000060,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,5800000000,
0000040533-18-000060,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,4300000000,
0000012927-18-000065,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,4151000000,Notional amounts represent the gross contract/notional amount of the derivatives outstanding.
0000012927-18-000065,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,4080000000,
0001437749-18-018747,DerivativeNotionalAmount,invest/2013,,20140630,0,USD,14300000,
0001420800-18-000025,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,320998000,
0001420800-18-000025,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,374367000,
0001467373-18-000318,DerivativeNotionalAmount,invest/2013,,20180831,0,USD,8783014000,
0001467373-18-000318,DerivativeNotionalAmount,invest/2013,,20170831,0,USD,9290345000,
0000914208-18-000411,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,172500000,
0001564590-18-024773,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,301548000,
0001564590-18-024773,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,301548000,
0001633917-18-000203,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,9166000000,
0001633917-18-000203,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,8308000000,
0000080424-18-000106,DerivativeNotionalAmount,invest/2013,,20180630,0,USD,13793000000,
0000080424-18-000106,DerivativeNotionalAmount,invest/2013,,20170630,0,USD,15623000000,
0001628280-18-012761,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,7200000000,
0000105132-18-000035,DerivativeNotionalAmount,invest/2013,,20180831,0,USD,23100000,
0000079879-18-000058,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,560000000,
0000080424-18-000100,DerivativeNotionalAmount,invest/2013,,20180630,0,USD,13793000000,
0000080424-18-000100,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,14366000000,
0000732717-18-000076,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,48527000000,
0000732717-18-000076,DerivativeNotionalAmount,invest/2013,,20161231,0,USD,39292000000,
0001087423-18-000020,DerivativeNotionalAmount,invest/2013,,20180831,0,USD,60016000,
0001087423-18-000020,DerivativeNotionalAmount,invest/2013,,20170831,0,USD,36914000,
0000876167-18-000119,DerivativeNotionalAmount,invest/2013,,20180831,0,USD,149204000,
0000876167-18-000119,DerivativeNotionalAmount,invest/2013,,20171130,0,USD,119654000,
0000740260-18-000179,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,200000000,
0000085961-18-000155,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,825000000,
0000085961-18-000155,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,825000000,
0000874766-18-000057,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,11764000000,
0000874766-18-000057,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,12730000000,
0000005513-18-000094,DerivativeNotionalAmount,invest/2013,,20180930,0,USD,795900000,
0000005513-18-000094,DerivativeNotionalAmount,invest/2013,,20180630,0,USD,808000000,
0000005513-18-000094,DerivativeNotionalAmount,invest/2013,,20171231,0,USD,904500000,
0000005513-18-000094,DerivativeNotionalAmount,invest/2013,,20170930,0,USD,911100000,
0000005513-18-000094,DerivativeNotionalAmount,invest/2013,,20170630,0,USD,1013700000,
0000005513-18-000094,DerivativeNotionalAmount,invest/2013,,20161231,0,USD,1052000000,
